date,signal,stop_loss,price,ticker
2019-08-03 11:00:00,Short,0.00884399,0.0087944,LTC/BTC
2019-08-03 11:00:00,Short,0.02068875,0.020527,ETH/BTC
2019-08-03 11:00:00,Long,0.00039541,0.0003988,EOS/BTC
2019-08-03 12:00:00,Short,2.937e-05,2.9199999999999998e-05,XRP/BTC
2019-08-03 15:00:00,Long,219.28589,222.22345929,ETH/USD
2019-08-03 19:00:00,Long,4.2426900000000005,4.2946,EOS/USD
2019-08-03 20:00:00,Long,219.28589,222.5,ETH/USD
2019-08-04 06:00:00,Long,0.31336729,0.3162,XRP/USD
2019-08-04 09:00:00,Long,330.35811,336.47,BCH/USD
2019-08-04 10:00:00,Short,0.02052823,0.020184999999999998,ETH/BTC
2019-08-04 10:00:00,Short,0.00039806,0.00038786,EOS/BTC
2019-08-04 10:00:00,Long,4.19257148,4.2555,EOS/USD
2019-08-04 10:00:00,Long,218.01207999999997,221.16,ETH/USD
2019-08-04 10:00:00,Short,0.03131776,0.03073,BCH/BTC
2019-08-04 10:00:00,Long,10545.542,10980.0,BTC/USD
2019-08-05 05:00:00,Long,0.32016763,0.3272,XRP/USD
2019-08-05 14:00:00,Short,0.00906034,0.0083067,LTC/BTC
2019-08-05 17:00:00,Short,0.029977800000000002,0.029689999999999998,BCH/BTC
2019-08-05 19:00:00,Short,0.01982734,0.019602,ETH/BTC
2019-08-05 20:00:00,Short,0.00038558,0.00037536,EOS/BTC
2019-08-06 00:00:00,Short,0.00038339999999999994,0.00037471,EOS/BTC
2019-08-06 00:00:00,Long,11597.688999999995,11831.0,BTC/USD
2019-08-06 02:00:00,Long,341.15039,350.49,BCH/USD
2019-08-06 02:00:00,Long,228.23265,233.58,ETH/USD
2019-08-06 04:00:00,Long,94.3823,97.74799999999999,LTC/USD
2019-08-06 15:00:00,Short,0.019608,0.019412000000000002,ETH/BTC
2019-08-06 21:00:00,Short,0.02942745,0.028918,BCH/BTC
2019-08-06 21:00:00,Short,0.00036759,0.000362,EOS/BTC
2019-08-06 21:00:00,Short,0.00815008,0.008005700000000001,LTC/BTC
2019-08-06 23:00:00,Short,2.742e-05,2.677e-05,XRP/BTC
2019-08-06 23:00:00,Short,0.01988516,0.01948,ETH/BTC
2019-08-07 02:00:00,Short,0.31515170000000003,0.31077,XRP/USD
2019-08-07 03:00:00,Short,2.742e-05,2.685e-05,XRP/BTC
2019-08-07 07:00:00,Short,0.02920313,0.028962,BCH/BTC
2019-08-07 11:00:00,Short,0.31515170000000003,0.30923,XRP/USD
2019-08-07 11:00:00,Short,230.74568,223.59,ETH/USD
2019-08-07 14:00:00,Short,345.94903,336.51,BCH/USD
2019-08-07 19:00:00,Short,0.31268911,0.31095,XRP/USD
2019-08-07 20:00:00,Short,343.2272200000001,337.16,BCH/USD
2019-08-07 22:00:00,Short,0.3126592,0.30961,XRP/USD
2019-08-07 23:00:00,Short,4.2825138,4.2166,EOS/USD
2019-08-08 01:00:00,Short,227.1166,225.18,ETH/USD
2019-08-08 07:00:00,Short,226.8175,225.25,ETH/USD
2019-08-08 11:00:00,Short,0.01903971,0.018827,ETH/BTC
2019-08-08 17:00:00,Short,0.00035664,0.00035192,EOS/BTC
2019-08-08 17:00:00,Short,2.641e-05,2.588e-05,XRP/BTC
2019-08-08 18:00:00,Long,11584.65,12050.0,BTC/USD
2019-08-08 18:00:00,Short,0.00781788,0.007501000000000002,LTC/BTC
2019-08-08 18:00:00,Short,0.02830483,0.027797000000000002,BCH/BTC
2019-08-08 22:00:00,Short,337.54432,331.51,BCH/USD
2019-08-08 22:00:00,Short,4.2029532,4.1548,EOS/USD
2019-08-08 22:00:00,Short,91.008154,89.42299999999999,LTC/USD
2019-08-08 23:00:00,Short,0.30933919,0.30615,XRP/USD
2019-08-09 02:00:00,Short,337.54432,328.9,BCH/USD
2019-08-09 05:00:00,Short,12060.708999999999,11737.0,BTC/USD
2019-08-09 15:00:00,Long,11738.108999999999,11908.0,BTC/USD
2019-08-09 21:00:00,Short,87.2375,85.569,LTC/USD
2019-08-10 07:00:00,Short,4.0286776,3.9583,EOS/USD
2019-08-11 01:00:00,Short,11415.65,11364.0,BTC/USD
2019-08-11 03:00:00,Short,11415.65,11344.31678886,BTC/USD
2019-08-11 05:00:00,Short,11415.65,11352.0,BTC/USD
2019-08-11 05:00:00,Short,0.30200127,0.29872,XRP/USD
2019-08-11 11:00:00,Long,0.00036176,0.00036471,EOS/BTC
2019-08-11 11:00:00,Long,2.617e-05,2.651e-05,XRP/BTC
2019-08-11 11:00:00,Long,4.0807055,4.1679,EOS/USD
2019-08-11 19:00:00,Long,2.625e-05,2.655e-05,XRP/BTC
2019-08-12 00:00:00,Short,11580.155,11396.0,BTC/USD
2019-08-12 09:00:00,Long,2.632e-05,2.648e-05,XRP/BTC
2019-08-12 15:00:00,Short,0.30140307,0.30122,XRP/USD
2019-08-12 20:00:00,Short,4.1522059,4.1134,EOS/USD
