date,available_capital,capital_locked_in_trades,total_capital,trades_open
2018-02-10 22:00:00,10.0,0.0,10.0,0
2018-02-10 23:00:00,10.0,0.0,10.0,0
2018-02-11 00:00:00,10.0,0.0,10.0,0
2018-02-11 01:00:00,10.0,0.0,10.0,0
2018-02-11 02:00:00,10.0,0.0,10.0,0
2018-02-11 03:00:00,10.0,0.0,10.0,0
2018-02-11 04:00:00,10.0,0.0,10.0,0
2018-02-11 05:00:00,10.0,0.0,10.0,0
2018-02-11 06:00:00,10.0,0.0,10.0,0
2018-02-11 07:00:00,10.0,0.0,10.0,0
2018-02-11 08:00:00,10.0,0.0,10.0,0
2018-02-11 09:00:00,10.0,0.0,10.0,0
2018-02-11 10:00:00,10.0,0.0,10.0,0
2018-02-11 11:00:00,10.0,0.0,10.0,0
2018-02-11 12:00:00,10.0,0.0,10.0,0
2018-02-11 13:00:00,10.0,0.0,10.0,0
2018-02-11 14:00:00,10.0,0.0,10.0,0
2018-02-11 15:00:00,10.0,0.0,10.0,0
2018-02-11 16:00:00,10.0,0.0,10.0,0
2018-02-11 17:00:00,10.0,0.0,10.0,0
2018-02-11 18:00:00,10.0,0.0,10.0,0
2018-02-11 19:00:00,10.0,0.0,10.0,0
2018-02-11 20:00:00,10.0,0.0,10.0,0
2018-02-11 21:00:00,10.0,0.0,10.0,0
2018-02-11 22:00:00,10.0,0.0,10.0,0
2018-02-11 23:00:00,10.0,0.0,10.0,0
2018-02-12 00:00:00,10.0,0.0,10.0,0
2018-02-12 01:00:00,10.0,0.0,10.0,0
2018-02-12 02:00:00,10.0,0.0,10.0,0
2018-02-12 03:00:00,10.0,0.0,10.0,0
2018-02-12 04:00:00,10.0,0.0,10.0,0
2018-02-12 05:00:00,10.0,0.0,10.0,0
2018-02-12 06:00:00,10.0,0.0,10.0,0
2018-02-12 07:00:00,10.0,0.0,10.0,0
2018-02-12 08:00:00,10.0,0.0,10.0,0
2018-02-12 09:00:00,10.0,0.0,10.0,0
2018-02-12 10:00:00,10.0,0.0,10.0,0
2018-02-12 11:00:00,10.0,0.0,10.0,0
2018-02-12 12:00:00,10.0,0.0,10.0,0
2018-02-12 13:00:00,10.0,0.0,10.0,0
2018-02-12 14:00:00,10.0,0.0,10.0,0
2018-02-12 15:00:00,10.0,0.0,10.0,0
2018-02-12 16:00:00,10.0,0.0,10.0,0
